response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0119,0.0000,0.0000,0.0000,0.0100,0.0000,200,0.0529
0.0126,0.0000,0.0000,0.0000,0.0102,0.0000,200,0.0522
0.0059,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.0606
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0604
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0605
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0604
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0605
0.0052,0.0000,0.0000,0.0000,0.0051,0.0001,200,0.0614
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0604
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0605
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0605
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0605
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0605
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0604
0.0061,0.0000,0.0000,0.0000,0.0060,0.0001,200,0.0605
0.0054,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0612
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.0606
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0605
0.0126,0.0000,0.0000,0.0007,0.0118,0.0000,200,0.0541
0.0064,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0604
0.0042,0.0000,0.0000,0.0000,0.0042,0.0000,200,0.0626
0.0055,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0612
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.0604
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0619
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0625
0.0079,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.0611
0.0085,0.0000,0.0000,0.0000,0.0085,0.0000,200,0.0605
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0624
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0625
0.0079,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.0611
0.0042,0.0000,0.0000,0.0000,0.0041,0.0001,200,0.0648
0.0087,0.0000,0.0000,0.0000,0.0087,0.0000,200,0.0605
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0668
0.0091,0.0000,0.0000,0.0000,0.0091,0.0000,200,0.0605
0.0072,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0625
0.0091,0.0000,0.0000,0.0000,0.0091,0.0000,200,0.0606
0.0092,0.0000,0.0000,0.0000,0.0092,0.0000,200,0.0605
0.0091,0.0000,0.0000,0.0000,0.0091,0.0000,200,0.0606
0.0093,0.0000,0.0000,0.0000,0.0092,0.0000,200,0.0604
0.0071,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.0626
0.0050,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0648
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0624
0.0049,0.0000,0.0000,0.0000,0.0048,0.0000,200,0.0649
0.0093,0.0000,0.0000,0.0000,0.0093,0.0000,200,0.0604
0.0051,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0647
0.0092,0.0000,0.0000,0.0000,0.0091,0.0000,200,0.0606
0.0086,0.0000,0.0000,0.0000,0.0085,0.0000,200,0.0612
0.0092,0.0000,0.0000,0.0000,0.0092,0.0000,200,0.0606
0.0050,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0648
0.0049,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0648
0.0050,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0647
0.0052,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0645
0.0073,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0625
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.0710
0.0027,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.0710
0.0030,0.0000,0.0000,0.0000,0.0030,0.0000,200,0.0708
0.0027,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.0718
0.0028,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.0720
0.0029,0.0000,0.0000,0.0000,0.0029,0.0000,200,0.0719
0.0046,0.0000,0.0000,0.0000,0.0044,0.0000,200,0.0718
0.0045,0.0000,0.0000,0.0000,0.0044,0.0001,200,0.0719
0.0051,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0719
0.0052,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0718
0.0052,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0718
0.0050,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0720
0.0052,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0719
0.0052,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0719
0.0052,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0719
0.0052,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0719
0.0051,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0719
0.0052,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0719
0.0052,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0719
0.0052,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0719
0.0053,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0718
0.0053,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0718
0.0051,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0720
0.0054,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0718
0.0053,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0719
0.0053,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0718
